temp_band,tow_t,level_fl,mass_t,fuel_used_kg,dist_nm,time_min,note
isa_minus_10_to_isa,185,502,160,25100,604,41,
isa_minus_10_to_isa,185,490,166,19400,362,28,
isa_minus_10_to_isa,185,470,168,17000,272,23,
isa_minus_10_to_isa,185,450,169,15500,220,20,
isa_minus_10_to_isa,185,432,171,14200,179,17,
isa_minus_10_to_isa,185,410,172,13100,159,16,
isa_minus_10_to_isa,185,390,173,12200,142,15,
isa_minus_10_to_isa,185,370,174,11200,126,14,
isa_minus_10_to_isa,185,350,175,10200,110,12,
isa_minus_10_to_isa,185,330,176,8900,91,11,
isa_minus_10_to_isa,185,310,177,7900,75,9,
isa_minus_10_to_isa,185,290,178,7100,65,8,
isa_minus_10_to_isa,185,280,178,6700,60,7,
isa_minus_10_to_isa,185,270,178,6500,57,7,
isa_minus_10_to_isa,185,260,179,6200,53,7,
isa_minus_10_to_isa,185,250,179,6000,51,7,
isa_minus_10_to_isa,185,240,179,5800,47,6,
isa_minus_10_to_isa,185,230,179,5600,44,6,
isa_minus_10_to_isa,180,502,159,21100,462,33,
isa_minus_10_to_isa,180,490,162,17800,324,25,
isa_minus_10_to_isa,180,470,164,15900,250,21,
isa_minus_10_to_isa,180,450,165,14600,205,19,
isa_minus_10_to_isa,180,432,167,13400,168,16,
isa_minus_10_to_isa,180,410,168,12400,149,15,
isa_minus_10_to_isa,180,390,168,11500,133,14,
isa_minus_10_to_isa,180,370,169,10600,118,13,
isa_minus_10_to_isa,180,350,170,9600,103,12,
isa_minus_10_to_isa,180,330,171,8500,85,10,
isa_minus_10_to_isa,180,310,172,7500,71,9,
isa_minus_10_to_isa,180,290,173,6800,61,8,
isa_minus_10_to_isa,180,280,174,6400,56,7,
isa_minus_10_to_isa,180,270,174,6200,53,7,
isa_minus_10_to_isa,180,260,174,5900,50,6,
isa_minus_10_to_isa,180,250,174,5700,48,6,
isa_minus_10_to_isa,180,240,174,5600,45,6,
isa_minus_10_to_isa,180,230,175,5400,42,5,
isa_minus_10_to_isa,175,502,156,18600,380,28,
isa_minus_10_to_isa,175,490,158,16600,294,23,
isa_minus_10_to_isa,175,470,160,14900,231,20,
isa_minus_10_to_isa,175,450,161,13800,191,17,
isa_minus_10_to_isa,175,432,162,12700,158,15,
isa_minus_10_to_isa,175,410,163,11700,140,14,
isa_minus_10_to_isa,175,390,164,10900,125,13,
isa_minus_10_to_isa,175,370,165,10000,111,12,
isa_minus_10_to_isa,175,350,166,9100,96,11,
isa_minus_10_to_isa,175,330,167,8000,80,9,
isa_minus_10_to_isa,175,310,168,7200,67,8,
isa_minus_10_to_isa,175,290,168,6500,57,7,
isa_minus_10_to_isa,175,280,169,6200,53,7,
isa_minus_10_to_isa,175,270,169,5900,50,6,
isa_minus_10_to_isa,175,260,169,5700,48,6,
isa_minus_10_to_isa,175,250,169,5500,45,6,
isa_minus_10_to_isa,175,240,170,5300,42,5,
isa_minus_10_to_isa,175,230,170,5200,40,5,
isa_minus_10_to_isa,170,502,153,16900,330,25,
isa_minus_10_to_isa,170,490,155,15400,268,21,
isa_minus_10_to_isa,170,470,156,14000,215,18,
isa_minus_10_to_isa,170,450,157,13000,179,16,
isa_minus_10_to_isa,170,432,158,12100,149,14,
isa_minus_10_to_isa,170,410,159,11100,131,13,
isa_minus_10_to_isa,170,390,160,10300,117,12,
isa_minus_10_to_isa,170,370,160,9500,104,11,
isa_minus_10_to_isa,170,350,161,8600,90,10,
isa_minus_10_to_isa,170,330,162,7600,75,9,
isa_minus_10_to_isa,170,310,163,6800,63,8,
isa_minus_10_to_isa,170,290,164,6200,54,7,
isa_minus_10_to_isa,170,280,164,5900,50,6,
isa_minus_10_to_isa,170,270,164,5700,48,6,
isa_minus_10_to_isa,170,260,164,5500,45,6,
isa_minus_10_to_isa,170,250,165,5300,43,6,
isa_minus_10_to_isa,170,240,165,5100,40,5,
isa_minus_10_to_isa,170,230,165,5000,37,5,
isa_minus_10_to_isa,165,502,149,15600,295,22,
isa_minus_10_to_isa,165,490,150,14500,246,20,
isa_minus_10_to_isa,165,470,152,13200,200,17,
isa_minus_10_to_isa,165,450,153,12300,167,15,
isa_minus_10_to_isa,165,432,154,11400,140,14,
isa_minus_10_to_isa,165,410,154,10600,124,13,
isa_minus_10_to_isa,165,390,155,9800,110,12,
isa_minus_10_to_isa,165,370,156,9000,97,11,
isa_minus_10_to_isa,165,350,157,8200,84,10,
isa_minus_10_to_isa,165,330,158,7300,70,8,
isa_minus_10_to_isa,165,310,158,6500,59,7,
isa_minus_10_to_isa,165,290,159,5900,51,6,
isa_minus_10_to_isa,165,280,159,5700,48,6,
isa_minus_10_to_isa,165,270,159,5500,45,6,
isa_minus_10_to_isa,165,260,160,5300,43,5,
isa_minus_10_to_isa,165,250,160,5100,41,5,
isa_minus_10_to_isa,165,240,160,4900,38,5,
isa_minus_10_to_isa,165,230,160,4800,35,5,
isa_minus_10_to_isa,160,502,145,14500,267,20,
isa_minus_10_to_isa,160,490,146,13600,227,18,
isa_minus_10_to_isa,160,470,147,12500,186,16,
isa_minus_10_to_isa,160,450,148,11700,157,14,
isa_minus_10_to_isa,160,432,149,10900,132,13,
isa_minus_10_to_isa,160,410,150,10000,116,12,
isa_minus_10_to_isa,160,390,151,9300,104,11,
isa_minus_10_to_isa,160,370,151,8600,91,10,
isa_minus_10_to_isa,160,350,152,7800,79,9,
isa_minus_10_to_isa,160,330,153,6900,66,8,
isa_minus_10_to_isa,160,310,154,6200,56,7,
isa_minus_10_to_isa,160,290,154,5700,48,6,
isa_minus_10_to_isa,160,280,155,5400,45,6,
isa_minus_10_to_isa,160,270,155,5300,43,5,
isa_minus_10_to_isa,160,260,155,5100,40,5,
isa_minus_10_to_isa,160,250,155,4900,38,5,
isa_minus_10_to_isa,160,240,155,4800,36,5,
isa_minus_10_to_isa,160,230,155,4600,34,4,
isa_minus_20_to_minus_10,185,502,167,18200,324,26,
isa_minus_20_to_minus_10,185,490,168,16800,269,23,
isa_minus_20_to_minus_10,185,470,169,15500,225,20,
isa_minus_20_to_minus_10,185,450,170,14500,194,18,
isa_minus_20_to_minus_10,185,432,171,13600,167,17,
isa_minus_20_to_minus_10,185,410,172,12700,151,16,
isa_minus_20_to_minus_10,185,390,173,11800,137,15,
isa_minus_20_to_minus_10,185,370,174,10900,122,13,
isa_minus_20_to_minus_10,185,350,175,9900,106,12,
isa_minus_20_to_minus_10,185,330,176,8700,87,10,
isa_minus_20_to_minus_10,185,310,177,7600,71,9,
isa_minus_20_to_minus_10,185,290,178,6800,60,7,
isa_minus_20_to_minus_10,185,280,179,6400,55,7,
isa_minus_20_to_minus_10,185,270,179,6200,52,7,
isa_minus_20_to_minus_10,185,260,179,5900,49,6,
isa_minus_20_to_minus_10,185,250,179,5700,46,6,
isa_minus_20_to_minus_10,185,240,179,5500,43,6,
isa_minus_20_to_minus_10,185,230,180,5300,40,5,
isa_minus_20_to_minus_10,180,502,163,16900,292,23,
isa_minus_20_to_minus_10,180,490,164,15700,249,21,
isa_minus_20_to_minus_10,180,470,165,14600,209,19,
isa_minus_20_to_minus_10,180,450,166,13700,181,17,
isa_minus_20_to_minus_10,180,432,167,12900,156,15,
isa_minus_20_to_minus_10,180,410,168,12000,141,15,
isa_minus_20_to_minus_10,180,390,169,11100,128,14,
isa_minus_20_to_minus_10,180,370,170,10300,114,13,
isa_minus_20_to_minus_10,180,350,171,9300,99,11,
isa_minus_20_to_minus_10,180,330,172,8200,81,10,
isa_minus_20_to_minus_10,180,310,173,7200,67,8,
isa_minus_20_to_minus_10,180,290,173,6500,56,7,
isa_minus_20_to_minus_10,180,280,174,6200,52,7,
isa_minus_20_to_minus_10,180,270,174,5900,49,6,
isa_minus_20_to_minus_10,180,260,174,5700,46,6,
isa_minus_20_to_minus_10,180,250,174,5500,44,6,
isa_minus_20_to_minus_10,180,240,175,5300,40,5,
isa_minus_20_to_minus_10,180,230,175,5100,38,5,
isa_minus_20_to_minus_10,175,502,159,15700,267,22,
isa_minus_20_to_minus_10,175,490,160,14800,231,20,
isa_minus_20_to_minus_10,175,470,161,13800,195,18,
isa_minus_20_to_minus_10,175,450,162,13000,170,16,
isa_minus_20_to_minus_10,175,432,163,12200,147,15,
isa_minus_20_to_minus_10,175,410,164,11300,133,14,
isa_minus_20_to_minus_10,175,390,164,10500,120,13,
isa_minus_20_to_minus_10,175,370,165,9700,107,12,
isa_minus_20_to_minus_10,175,350,166,8800,92,11,
isa_minus_20_to_minus_10,175,330,167,7800,76,9,
isa_minus_20_to_minus_10,175,310,168,6900,63,8,
isa_minus_20_to_minus_10,175,290,169,6200,53,7,
isa_minus_20_to_minus_10,175,280,169,5900,49,6,
isa_minus_20_to_minus_10,175,270,169,5700,46,6,
isa_minus_20_to_minus_10,175,260,169,5500,43,6,
isa_minus_20_to_minus_10,175,250,170,5300,41,5,
isa_minus_20_to_minus_10,175,240,170,5100,38,5,
isa_minus_20_to_minus_10,175,230,170,4900,36,5,
isa_minus_20_to_minus_10,170,502,155,14700,245,20,
isa_minus_20_to_minus_10,170,490,156,13900,215,18,
isa_minus_20_to_minus_10,170,470,157,13000,183,17,
isa_minus_20_to_minus_10,170,450,158,12300,159,15,
isa_minus_20_to_minus_10,170,432,158,11500,138,14,
isa_minus_20_to_minus_10,170,410,159,10700,125,13,
isa_minus_20_to_minus_10,170,390,160,10000,112,12,
isa_minus_20_to_minus_10,170,370,161,9200,100,11,
isa_minus_20_to_minus_10,170,350,162,8400,86,10,
isa_minus_20_to_minus_10,170,330,163,7400,71,8,
isa_minus_20_to_minus_10,170,310,163,6600,59,7,
isa_minus_20_to_minus_10,170,290,164,6000,50,6,
isa_minus_20_to_minus_10,170,280,164,5700,46,6,
isa_minus_20_to_minus_10,170,270,164,5500,44,6,
isa_minus_20_to_minus_10,170,260,165,5300,41,5,
isa_minus_20_to_minus_10,170,250,165,5100,39,5,
