descent_speed_kt,temp_band,table,from_supersonic_cruise,level_fl,fuel_t,time_min,tas_mean_kt,dist_zero_wind_nm,decel_end_fl,level_correction_nm_per_2000ft,note
325,above_isa_minus_10,decel_to_mach1,True,600,1.35,10.7,827,147,383,5,
325,above_isa_minus_10,decel_to_mach1,True,590,1.3,10.2,822,141,383,5,
325,above_isa_minus_10,decel_to_mach1,True,580,1.25,10.0,816,135,383,5,
325,above_isa_minus_10,decel_to_mach1,True,570,1.2,9.6,810,129,383,5,
325,above_isa_minus_10,decel_to_mach1,True,560,1.16,9.3,807,125,383,5,
325,above_isa_minus_10,decel_to_mach1,True,550,1.13,9.0,804,121,383,5,
325,above_isa_minus_10,decel_to_mach1,True,540,1.1,8.7,800,116,383,5,
325,above_isa_minus_10,decel_to_mach1,True,530,1.08,8.5,798,113,383,5,
325,above_isa_minus_10,decel_to_mach1,True,520,1.07,8.2,798,109,383,5,
325,above_isa_minus_10,decel_to_mach1,True,510,1.05,8.0,798,106,383,5,
325,above_isa_minus_10,decel_to_mach1,True,500,1.03,7.7,796,102,383,5,
325,above_isa_minus_10,decel_to_mach1,True,490,0.98,7.2,788,95,383,5,
325,above_isa_minus_10,decel_to_mach1,True,480,0.92,6.8,781,88,383,5,
325,above_isa_minus_10,decel_to_mach1,True,470,0.87,6.3,773,81,383,5,
325,above_isa_minus_10,descent_to_1500ft,True,600,2.32,23.0,620,238,383,5,
325,above_isa_minus_10,descent_to_1500ft,True,590,2.27,22.7,614,232,383,5,
325,above_isa_minus_10,descent_to_1500ft,True,570,2.17,22.0,603,221,383,5,
325,above_isa_minus_10,descent_to_1500ft,True,550,2.11,21.4,594,212,383,5,
325,above_isa_minus_10,descent_to_1500ft,True,530,2.06,20.9,587,204,383,5,
325,above_isa_minus_10,descent_to_1500ft,True,510,2.03,20.3,581,197,383,5,
325,above_isa_minus_10,descent_to_1500ft,True,490,1.96,19.6,569,186,383,5,
325,above_isa_minus_10,descent_to_1500ft,True,470,1.84,18.7,553,172,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,550,1.55,17.7,514,152,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,530,1.49,17.1,505,144,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,510,1.42,16.5,495,136,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,490,1.35,15.9,486,129,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,470,1.28,15.2,477,121,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,450,1.21,14.6,468,114,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,430,1.14,13.9,460,107,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,410,1.07,13.2,452,100,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,390,1.0,12.6,444,93,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,370,0.95,12.0,438,88,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,350,0.89,11.4,431,82,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,330,0.84,10.7,424,75,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,310,0.79,10.0,417,69,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,290,0.73,9.3,411,63,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,270,0.67,8.6,404,58,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,250,0.62,7.9,397,52,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,230,0.56,7.1,391,47,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,210,0.51,6.4,385,41,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,190,0.45,5.8,379,36,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,170,0.4,5.1,373,32,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,150,0.35,4.4,367,27,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,130,0.29,3.7,362,22,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,110,0.24,3.1,356,18,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,90,0.19,2.4,351,14,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,70,0.14,1.8,346,10,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,50,0.09,1.1,341,7,383,5,
325,above_isa_minus_10,descent_to_1500ft,False,30,0.04,0.5,336,3,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,600,1.27,10.8,765,138,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,590,1.27,10.6,763,135,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,580,1.26,10.5,761,133,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,570,1.25,10.3,760,130,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,560,1.24,10.1,759,127,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,550,1.23,9.8,757,124,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,540,1.23,9.6,756,121,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,530,1.23,9.4,755,119,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,520,1.23,9.2,756,116,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,510,1.24,9.0,757,113,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,500,1.26,8.8,757,111,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,490,1.25,8.5,754,107,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,480,1.23,8.1,751,102,383,5,
325,isa_minus_10_and_below,decel_to_mach1,True,470,1.22,7.8,746,97,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,True,600,2.23,23.0,581,223,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,True,590,2.23,22.8,579,221,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,True,570,2.21,22.5,575,215,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,True,550,2.19,22.1,570,209,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,True,530,2.19,21.6,566,204,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,True,510,2.2,21.2,562,199,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,True,490,2.21,20.7,556,192,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,True,470,2.18,20.0,546,182,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,550,1.58,18.0,491,147,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,530,1.51,17.3,481,138,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,510,1.43,16.6,471,130,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,490,1.36,15.9,462,123,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,470,1.29,15.2,454,115,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,450,1.21,14.5,445,108,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,430,1.14,13.8,437,101,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,410,1.06,13.1,429,94,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,390,0.99,12.5,422,88,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,370,0.93,11.9,416,82,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,350,0.88,11.2,409,77,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,330,0.83,10.5,403,71,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,310,0.77,9.8,397,65,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,290,0.72,9.1,391,60,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,270,0.66,8.4,384,54,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,250,0.61,7.7,378,49,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,230,0.55,7.0,373,44,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,210,0.5,6.3,367,39,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,190,0.45,5.7,361,34,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,170,0.39,5.0,356,29,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,150,0.34,4.3,350,25,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,130,0.29,3.6,345,21,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,110,0.24,3.0,340,17,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,90,0.19,2.4,335,13,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,70,0.14,1.7,331,10,383,5,
325,isa_minus_10_and_below,descent_to_1500ft,False,50,0.09,1.1,326,6,383,5,
350,above_isa_minus_10,decel_to_mach1,True,600,1.31,10.2,842,143,350,3,
350,above_isa_minus_10,decel_to_mach1,True,590,1.24,9.8,837,136,350,3,
350,above_isa_minus_10,decel_to_mach1,True,580,1.19,9.4,831,130,350,3,
350,above_isa_minus_10,decel_to_mach1,True,570,1.14,9.1,825,125,350,3,
350,above_isa_minus_10,decel_to_mach1,True,560,1.11,8.8,822,121,350,3,
350,above_isa_minus_10,decel_to_mach1,True,550,1.09,8.6,818,117,350,3,
350,above_isa_minus_10,decel_to_mach1,True,540,1.06,8.3,814,113,350,3,
350,above_isa_minus_10,decel_to_mach1,True,530,1.05,8.1,812,110,350,3,
350,above_isa_minus_10,decel_to_mach1,True,520,1.04,7.9,811,107,350,3,
350,above_isa_minus_10,decel_to_mach1,True,510,1.03,7.7,809,104,350,3,
350,above_isa_minus_10,decel_to_mach1,True,500,1.01,7.5,807,100,350,3,
350,above_isa_minus_10,decel_to_mach1,True,490,0.96,7.1,798,94,350,3,
350,above_isa_minus_10,decel_to_mach1,True,480,0.91,6.7,789,88,350,3,
350,above_isa_minus_10,decel_to_mach1,True,470,0.87,6.3,779,81,350,3,
350,above_isa_minus_10,descent_to_1500ft,True,600,2.1,20.3,650,220,350,3,
350,above_isa_minus_10,descent_to_1500ft,True,590,2.04,19.9,643,213,350,3,
350,above_isa_minus_10,descent_to_1500ft,True,570,1.94,19.2,630,202,350,3,
350,above_isa_minus_10,descent_to_1500ft,True,550,1.88,18.7,622,194,350,3,
350,above_isa_minus_10,descent_to_1500ft,True,530,1.85,18.3,615,187,350,3,
350,above_isa_minus_10,descent_to_1500ft,True,510,1.82,17.9,609,181,350,3,
350,above_isa_minus_10,descent_to_1500ft,True,490,1.76,17.2,596,171,350,3,
350,above_isa_minus_10,descent_to_1500ft,True,470,1.67,16.4,579,159,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,550,1.38,15.6,544,141,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,530,1.33,15.0,533,134,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,510,1.27,14.5,523,126,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,490,1.21,14.0,513,119,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,470,1.15,13.4,506,113,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,450,1.09,12.9,495,106,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,430,1.03,12.3,486,100,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,410,0.97,11.7,478,94,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,390,0.91,11.2,470,88,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,370,0.85,10.7,463,82,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,350,0.8,10.1,456,77,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,330,0.76,9.7,451,73,350,3,
350,above_isa_minus_10,descent_to_1500ft,False,310,0.72,9.1,444,67,350,3,
