level_fl,mass_t,isa_dev_c,mach,tas_kt,fuel_per_engine_kgh,fuel_total_kgh,specific_range_nm_per_t,illegible,manual_review
290,180,-20,0.95,537,4553,18212,29.49,False,False
290,180,-15,0.95,544,4618,18472,29.45,False,False
290,180,-10,0.95,550,4683,18732,29.36,False,False
290,180,-5,0.95,556,4745,18980,29.29,False,False
290,180,0,0.95,562,4808,19232,29.22,False,False
290,180,5,0.95,568,4871,19484,29.15,False,False
290,180,10,0.95,574,4933,19732,29.09,False,False
290,180,15,0.95,580,4994,19976,29.03,False,False
290,180,20,0.95,586,5055,20220,28.98,False,False
290,175,-20,0.95,537,4376,17504,30.68,False,False
290,175,-15,0.95,544,4439,17756,30.64,False,False
290,175,-10,0.95,550,4502,18008,30.54,False,False
290,175,-5,0.95,556,4562,18248,30.47,False,False
290,175,0,0.95,562,4622,18488,30.4,False,False
290,175,5,0.95,568,4682,18728,30.33,False,False
290,175,10,0.95,574,4742,18968,30.26,False,False
290,175,15,0.95,580,4801,19204,30.2,False,False
290,175,20,0.95,586,4860,19440,30.14,False,False
290,170,-20,0.95,537,4213,16852,31.87,False,False
290,170,-15,0.95,544,4273,17092,31.83,False,False
290,170,-10,0.95,550,4334,17336,31.73,False,False
290,170,-5,0.95,556,4391,17564,31.66,False,False
290,170,0,0.95,562,4447,17788,31.59,False,False
290,170,5,0.95,568,4504,18016,31.53,False,False
290,170,10,0.95,574,4561,18244,31.46,False,False
290,170,15,0.95,580,4619,18476,31.39,False,False
290,170,20,0.95,586,4676,18704,31.33,False,False
290,165,-20,0.95,537,4056,16224,33.1,False,False
290,165,-15,0.95,544,4115,16460,33.05,False,False
290,165,-10,0.95,550,4173,16692,32.95,False,False
290,165,-5,0.95,556,4226,16904,32.89,False,False
290,165,0,0.95,562,4285,17140,32.79,False,False
290,165,5,0.95,568,4341,17364,32.71,False,False
290,165,10,0.95,574,4396,17584,32.64,False,False
290,165,15,0.95,580,4452,17808,32.57,False,False
290,165,20,0.95,586,4508,18032,32.5,False,False
290,160,-20,0.95,537,3906,15624,34.37,False,False
290,160,-15,0.95,544,3957,15828,34.37,False,False
290,160,-10,0.95,550,4019,16076,34.21,False,False
290,160,-5,0.95,556,4075,16300,34.11,False,False
290,160,0,0.95,562,4132,16528,34,False,False
290,160,5,0.95,568,4188,16752,33.91,False,False
290,160,10,0.95,574,4245,16980,33.8,False,False
290,160,15,0.95,580,4298,17192,33.74,True,False
290,160,20,0.95,586,4351,17404,33.67,False,False
290,155,-20,0.95,537,3762,15048,35.69,False,False
290,155,-15,0.95,544,3815,15260,35.65,False,False
290,155,-10,0.95,550,3871,15484,35.52,False,False
290,155,-5,0.95,556,3927,15708,35.4,False,False
290,155,0,0.95,562,3984,15936,35.27,False,False
290,155,5,0.95,568,4061,16244,34.97,False,False
290,155,10,0.95,574,4098,16392,35.02,False,False
290,155,15,0.95,580,4147,16588,34.97,False,False
290,155,20,0.95,586,4197,16788,34.91,False,False
290,150,-20,0.95,537,3625,14500,37.03,False,False
290,150,-15,0.95,544,3678,14712,36.98,False,False
290,150,-10,0.95,550,3731,14924,36.85,False,False
290,150,-5,0.95,556,3786,15144,36.71,True,False
290,150,0,0.95,562,3841,15364,36.58,False,False
290,150,5,0.95,568,3896,15584,36.45,False,False
290,150,10,0.95,574,3951,15804,36.32,False,False
290,150,15,0.95,580,3998,15992,36.27,False,False
290,150,20,0.95,586,4046,16184,36.21,False,False
290,145,-20,0.95,537,3495,13980,38.41,False,False
290,145,-15,0.95,544,3546,14184,38.35,True,False
290,145,-10,0.95,550,3598,14392,38.22,False,False
290,145,-5,0.95,556,3651,14604,38.07,False,False
290,145,0,0.95,562,3704,14816,37.93,False,False
290,145,5,0.95,568,3758,15032,37.79,False,False
290,145,10,0.95,574,3811,15244,37.65,False,False
290,145,15,0.95,580,3857,15428,37.59,False,False
290,145,20,0.95,586,3903,15612,37.54,False,False
290,140,-20,0.95,537,3373,13492,39.8,False,False
290,140,-15,0.95,544,3422,13688,39.74,False,False
290,140,-10,0.95,550,3472,13888,39.6,False,False
290,140,-5,0.95,556,3524,14096,39.44,False,False
290,140,0,0.95,562,3576,14304,39.29,False,False
290,140,5,0.95,568,3628,14512,39.14,False,False
290,140,10,0.95,574,3680,14720,38.99,False,False
290,140,15,0.95,580,3724,14896,38.94,False,False
290,140,20,0.95,586,3768,15072,38.88,False,False
290,135,-20,0.95,537,3269,13076,41.07,False,False
290,135,-15,0.95,544,3315,13260,41.03,False,False
290,135,-10,0.95,550,3361,13444,40.91,False,False
290,135,-5,0.95,556,3413,13652,40.73,False,False
290,135,0,0.95,562,3458,13832,40.63,False,False
290,135,5,0.95,568,3506,14024,40.5,False,False
290,135,10,0.95,574,3554,14216,40.38,False,False
290,135,15,0.95,580,3597,14388,40.31,False,False
290,135,20,0.95,586,3640,14560,40.25,False,False
290,130,-20,0.95,537,3175,12700,42.28,False,False
290,130,-15,0.95,544,3222,12888,42.21,False,False
290,130,-10,0.95,550,3264,13056,42.13,False,False
290,130,-5,0.95,556,3338,13352,41.64,False,False
290,130,0,0.95,562,3351,13404,41.93,False,False
290,130,5,0.95,568,3395,13580,41.83,False,False
290,130,10,0.95,574,3438,13752,41.74,False,False
290,130,15,0.95,580,3482,13928,41.64,False,False
290,130,20,0.95,586,3526,14104,41.55,False,False
290,125,-20,0.95,537,3085,12340,43.52,False,False
290,125,-15,0.95,544,3129,12516,43.46,False,False
290,125,-10,0.95,550,3173,12692,43.33,False,False
290,125,-5,0.95,556,3216,12864,43.22,False,False
290,125,0,0.95,562,3258,13032,43.12,False,False
290,125,5,0.95,568,3301,13204,43.02,False,False
290,125,10,0.95,574,3344,13376,42.91,False,False
290,125,15,0.95,580,3387,13548,42.81,False,False
290,125,20,0.95,586,3429,13716,42.72,False,False
290,120,-20,0.95,537,3001,12004,44.74,False,False
290,120,-15,0.95,544,3044,12176,44.68,False,False
290,120,-10,0.95,550,3086,12344,44.56,False,False
290,120,-5,0.95,556,3129,12516,44.42,False,False
290,120,0,0.95,562,3171,12684,44.31,False,False
290,120,5,0.95,568,3213,12852,44.2,False,False
290,120,10,0.95,574,3255,13020,44.09,False,False
290,120,15,0.95,580,3296,13184,43.99,False,False
290,120,20,0.95,586,3337,13348,43.9,False,False
290,115,-20,0.95,537,2927,11708,45.87,False,False
290,115,-15,0.95,544,2969,11876,45.81,False,False
290,115,-10,0.95,550,3010,12040,45.68,True,False
290,115,-5,0.95,556,3050,12200,45.57,True,False
290,115,0,0.95,562,3091,12364,45.45,False,False
290,115,5,0.95,568,3132,12528,45.34,False,False
290,115,10,0.95,574,3172,12688,45.24,False,False
290,115,15,0.95,580,3212,12848,45.14,False,False
290,115,20,0.95,586,3252,13008,45.05,False,False
290,110,-20,0.95,537,2859,11436,46.96,False,False
290,110,-15,0.95,544,2893,11572,47.01,False,False
290,110,-10,0.95,550,2953,11812,46.56,False,False
290,110,-5,0.95,556,2976,11904,46.71,False,False
290,110,0,0.95,562,3018,12072,46.55,False,False
290,110,5,0.95,568,3057,12228,46.45,False,False
290,110,10,0.95,574,3096,12384,46.35,False,False
290,110,15,0.95,580,3136,12544,46.24,False,False
290,110,20,0.95,586,3177,12708,46.11,False,False
310,180,-20,0.95,532,4715,18860,28.21,False,False
310,180,-15,0.95,539,4783,19132,28.17,False,False
310,180,-10,0.95,545,4852,19408,28.08,False,False
310,180,-5,0.95,551,4919,19676,28,False,False
310,180,0,0.95,557,4985,19940,27.93,False,False
310,180,5,0.95,564,5051,20204,27.92,False,False
310,180,10,0.95,570,5117,20468,27.85,False,False
310,180,15,0.95,576,5182,20728,27.79,False,False
310,180,20,0.95,581,5246,20984,27.69,False,False
310,175,-20,0.95,532,4516,18064,29.45,False,False
310,175,-15,0.95,539,4582,18328,29.41,False,False
310,175,-10,0.95,545,4648,18592,29.31,False,False
310,175,-5,0.95,551,4711,18844,29.24,False,False
310,175,0,0.95,557,4775,19100,29.16,False,False
310,175,5,0.95,564,4838,19352,29.14,False,False
310,175,10,0.95,570,4901,19604,29.08,False,False
310,175,15,0.95,576,4963,19852,29.01,False,False
310,175,20,0.95,581,5024,20096,28.91,False,False
310,170,-20,0.95,532,4330,17320,30.72,False,False
310,170,-15,0.95,539,4393,17572,30.67,False,False
310,170,-10,0.95,545,4456,17824,30.58,False,False
310,170,-5,0.95,551,4517,18068,30.5,False,False
310,170,0,0.95,557,4577,18308,30.42,False,False
310,170,5,0.95,564,4638,18552,30.4,False,False
310,170,10,0.95,570,4699,18796,30.33,False,False
310,170,15,0.95,576,4758,19032,30.26,False,False
310,170,20,0.95,581,4917,19668,29.54,False,False
310,165,-20,0.95,532,4154,16616,32.02,False,False
310,165,-15,0.95,539,4214,16856,31.98,False,False
310,165,-10,0.95,545,4275,17100,31.87,False,False
310,165,-5,0.95,551,4333,17332,31.79,False,False
310,165,0,0.95,557,4392,17568,31.71,False,False
310,165,5,0.95,564,4451,17804,31.68,False,False
310,165,10,0.95,570,4509,18036,31.6,False,False
310,165,15,0.95,576,4565,18260,31.54,False,False
310,165,20,0.95,581,4623,18492,31.42,False,False
310,160,-20,0.95,532,3979,15916,33.43,False,False
310,160,-15,0.95,539,4037,16148,33.38,False,False
310,160,-10,0.95,545,4095,16380,33.27,False,False
310,160,-5,0.95,551,4151,16604,33.18,False,False
310,160,0,0.95,557,4206,16824,33.11,False,False
310,160,5,0.95,564,4262,17048,33.08,False,False
310,160,10,0.95,570,4318,17272,33,False,False
310,160,15,0.95,576,4372,17488,32.94,True,False
310,160,20,0.95,581,4427,17708,32.81,False,False
310,155,-20,0.95,532,3816,15264,34.85,False,False
310,155,-15,0.95,539,3872,15488,34.8,False,False
310,155,-10,0.95,545,3929,15716,34.68,False,False
310,155,-5,0.95,551,3933,15732,35.02,False,False
310,155,0,0.95,557,4038,16152,34.48,False,False
310,155,5,0.95,564,4093,16372,34.45,False,False
310,155,10,0.95,570,4148,16592,34.35,False,False
310,155,15,0.95,576,4201,16804,34.28,False,False
310,155,20,0.95,581,4253,17012,34.15,False,False
310,150,-20,0.95,532,3659,14636,36.35,False,False
310,150,-15,0.95,539,3713,14852,36.29,False,False
310,150,-10,0.95,545,3767,15068,36.17,False,False
310,150,-5,0.95,551,3822,15288,36.04,True,False
310,150,0,0.95,557,3877,15508,35.92,False,False
310,150,5,0.95,564,3933,15732,35.85,False,False
310,150,10,0.95,570,3988,15952,35.73,False,False
310,150,15,0.95,576,4037,16148,35.67,False,False
310,150,20,0.95,581,4087,16348,35.54,False,False
310,145,-20,0.95,532,3508,14032,37.91,False,False
310,145,-15,0.95,539,3560,14240,37.85,True,False
310,145,-10,0.95,545,3612,14448,37.72,False,False
310,145,-5,0.95,551,3665,14660,37.59,False,False
310,145,0,0.95,557,3719,14876,37.44,False,False
310,145,5,0.95,564,3772,15088,37.38,False,False
310,145,10,0.95,570,3826,15304,37.25,False,False
310,145,15,0.95,576,3873,15492,37.18,False,False
310,145,20,0.95,581,3921,15684,37.04,False,False
310,140,-20,0.95,532,3363,13452,39.55,False,False
310,140,-15,0.95,539,3413,13652,39.48,False,False
310,140,-10,0.95,545,3464,13856,39.33,False,False
310,140,-5,0.95,551,3516,14064,39.18,False,False
310,140,0,0.95,557,3568,14272,39.03,False,False
310,140,5,0.95,564,3619,14476,38.96,False,False
310,140,10,0.95,570,3671,14684,38.82,False,False
310,140,15,0.95,576,3717,14868,38.74,False,False
310,140,20,0.95,581,3762,15048,38.61,False,False
310,135,-20,0.95,532,3210,12840,41.43,False,False
310,135,-15,0.95,539,3277,13108,41.12,False,False
310,135,-10,0.95,545,3323,13292,41,False,False
310,135,-5,0.95,551,3374,13496,40.83,False,False
310,135,0,0.95,557,3424,13696,40.67,False,False
310,135,5,0.95,564,3474,13896,40.59,False,False
310,135,10,0.95,570,3525,14100,40.43,False,False
310,135,15,0.95,576,3568,14272,40.36,False,False
310,135,20,0.95,581,3611,14444,40.22,False,False
310,130,-20,0.95,532,3120,12480,42.63,False,False
310,130,-15,0.95,539,3165,12660,42.58,False,False
310,130,-10,0.95,545,3209,12836,42.46,False,False
310,130,-5,0.95,551,3254,13016,42.33,False,False
310,130,0,0.95,557,3298,13192,42.22,False,False
310,130,5,0.95,564,3343,13372,42.18,False,False
310,130,10,0.95,570,3388,13552,42.06,False,False
310,130,15,0.95,576,3430,13720,41.98,False,False
310,130,20,0.95,581,3472,13888,41.83,False,False
310,125,-20,0.95,532,3017,12068,44.08,False,False
310,125,-15,0.95,539,3061,12244,44.02,False,False
310,125,-10,0.95,545,3104,12416,43.89,False,False
310,125,-5,0.95,551,3145,12580,43.8,False,False
310,125,0,0.95,557,3187,12748,43.69,False,False
310,125,5,0.95,564,3229,12916,43.67,False,False
310,125,10,0.95,570,3271,13084,43.56,False,False
310,125,15,0.95,576,3312,13248,43.48,False,False
310,125,20,0.95,581,3354,13416,43.31,False,False
310,120,-20,0.95,532,2963,11852,44.89,True,False
310,120,-15,0.95,539,2963,11852,45.48,False,False
310,120,-10,0.95,545,3002,12008,45.39,False,False
310,120,-5,0.95,551,3042,12168,45.28,False,False
310,120,0,0.95,557,3082,12328,45.18,False,False
310,120,5,0.95,564,3122,12488,45.16,False,False
310,120,10,0.95,570,3162,12648,45.07,False,False
310,120,15,0.95,576,3201,12804,44.99,False,False
310,120,20,0.95,581,3241,12964,44.82,False,False
310,115,-20,0.95,532,2827,11308,47.05,False,False
310,115,-15,0.95,539,2868,11472,46.98,False,False
310,115,-10,0.95,545,2908,11632,46.85,False,False
310,115,-5,0.95,551,2946,11784,46.76,False,False
310,115,0,0.95,557,2983,11932,46.68,False,False
310,115,5,0.95,564,3021,12084,46.67,False,False
310,115,10,0.95,570,3058,12232,46.6,False,False
310,115,15,0.95,576,3097,12388,46.5,False,False
310,115,20,0.95,581,3135,12540,46.33,False,False
310,110,-20,0.95,532,2740,10960,48.54,False,False
310,110,-15,0.95,539,2780,11120,48.47,False,False
310,110,-10,0.95,545,2820,11280,48.32,False,False
310,110,-5,0.95,551,2856,11424,48.23,False,False
310,110,0,0.95,557,2892,11568,48.15,False,False
310,110,5,0.95,564,2928,11712,48.16,False,False
310,110,10,0.95,570,2964,11856,48.08,False,False
310,110,15,0.95,576,3003,12012,47.95,False,False
310,110,20,0.95,581,3041,12164,47.76,False,False
330,180,-20,0.95,527,5021,20084,26.24,False,False
330,180,-15,0.95,534,5275,21100,25.31,False,False
330,180,-10,0.95,540,5248,20992,25.72,True,False
330,180,-5,0.95,546,5221,20884,26.14,False,False
330,180,0,0.95,553,5292,21168,26.12,False,False
330,180,5,0.95,559,5364,21456,26.05,False,False
330,180,10,0.95,565,5435,21740,25.99,False,False
330,180,15,0.95,571,5510,22040,25.91,False,False
330,175,-20,0.95,527,4754,19016,27.71,False,False
330,175,-15,0.95,534,4824,19296,27.67,False,False
330,175,-10,0.95,540,4895,19580,27.58,False,False
330,175,-5,0.95,546,4963,19852,27.5,False,False
330,175,0,0.95,553,5031,20124,27.48,False,False
330,175,5,0.95,559,5099,20396,27.41,False,False
330,175,10,0.95,565,5168,20672,27.33,False,False
330,175,15,0.95,571,5254,21016,27.17,False,False
330,175,20,0.95,577,5312,21248,27.16,False,False
330,170,-20,0.95,527,4523,18092,29.13,False,False
330,170,-15,0.95,534,4590,18360,29.08,False,False
330,170,-10,0.95,540,4657,18628,28.99,False,False
330,170,-5,0.95,546,4722,18888,28.91,False,False
330,170,0,0.95,553,4787,19148,28.88,False,False
330,170,5,0.95,559,4851,19404,28.81,False,False
330,170,10,0.95,565,4916,19664,28.73,False,False
330,170,15,0.95,571,4998,19992,28.56,False,False
330,170,20,0.95,577,5057,20228,28.52,False,False
330,165,-20,0.95,527,4309,17236,30.58,False,False
330,165,-15,0.95,534,4373,17492,30.53,False,False
330,165,-10,0.95,540,4436,17744,30.43,False,False
330,165,-5,0.95,546,4498,17992,30.35,False,False
330,165,0,0.95,553,4560,18240,30.32,False,False
