weight_t,isa_dev_c,ceiling_ft,mach,tas_kt,fuel_per_engine_kgh,fuel_total_kgh,specific_range_nm_per_t,note
165,-30,48372,1.77,942,7325,29300,32.15,cruise Mach not reached (thrust-limited); outside the envelope model
165,-20,52269,2.0,1093,6331,25324,43.16,
165,-15,51169,2.0,1107,6439,25756,42.98,
165,-10,50281,2.0,1118,6603,26412,42.32,
165,-5,49450,1.97,1116,6832,27328,40.83,
165,0,48222,1.92,1099,6909,27636,39.77,
165,5,46652,1.85,1075,6928,27712,38.79,
165,10,44799,1.78,1045,6944,27776,37.62,
165,15,43494,1.72,1019,7624,30496,33.41,
160,-30,53354,2.0,1065,6435,25740,41.37,
160,-20,52983,2.0,1093,6134,24536,44.54,
160,-15,51945,2.0,1107,6220,24880,44.49,
160,-10,50932,2.0,1120,6334,25336,44.2,
160,-5,50285,2.0,1133,6457,25828,43.86,
160,0,49567,1.97,1132,6590,26360,42.94,
160,5,48313,1.92,1114,6667,26668,41.77,
160,10,46521,1.84,1079,6726,26904,40.1,
160,15,44047,1.74,1033,6760,27040,38.2,
155,-30,55525,2.0,1065,5843,23372,45.56,
155,-20,53662,2.0,1093,5948,23792,45.93,
155,-15,52623,2.0,1107,6031,24124,45.88,
155,-10,51620,2.0,1120,6140,24560,45.6,
155,-5,50928,2.0,1134,6257,25028,45.31,
155,0,50291,2.0,1145,6387,25548,44.82,
155,5,49303,1.96,1138,6502,26008,43.75,
155,10,47457,1.89,1106,6558,26232,42.16,
155,15,44939,1.79,1059,6672,26688,39.68,
150,-30,56215,2.0,1065,5661,22644,47.03,
150,-20,54352,2.0,1093,5762,23048,47.42,
150,-15,53330,2.0,1107,5841,23364,47.38,
150,-10,52315,2.0,1120,5947,23788,47.08,
150,-5,51630,2.0,1134,6059,24236,46.79,
150,0,50997,2.0,1147,6180,24720,46.4,
150,5,50093,2.0,1158,6361,25444,45.51,
150,10,48408,1.92,1129,6414,25656,44.0,
150,15,46031,1.83,1085,6522,26088,41.59,
145,-30,56947,2.0,1065,5479,21916,48.59,
145,-20,55086,2.0,1093,5577,22308,48.99,
145,-15,54052,2.0,1107,5652,22608,48.96,
145,-10,53055,2.0,1120,5754,23016,48.66,
145,-5,52356,2.0,1134,5862,23448,48.36,
145,0,51726,2.0,1147,5977,23908,47.98,
145,5,51111,2.0,1160,6092,24368,47.6,
145,10,49338,1.95,1146,6242,24968,45.9,fuel obscured by watermark; reconstructed 6242/24968 from specific range 45.90
145,15,47046,1.87,1108,6371,25484,43.47,
140,-30,57693,2.0,1065,5297,21188,50.26,
140,-20,55835,2.0,1093,5390,21560,50.69,
140,-15,54804,2.0,1107,5463,21852,50.65,
140,-10,53807,2.0,1120,5560,22240,50.35,
140,-5,53127,2.0,1134,5664,22656,50.05,
140,0,52483,2.0,1147,5776,23104,49.65,
140,5,51854,2.0,1160,5885,23540,49.28,
140,10,50335,1.95,1147,5966,23864,48.06,
140,15,48073,1.9,1125,6182,24728,45.49,
135,-30,58461,2.0,1065,5114,20456,52.06,
135,-20,56607,2.0,1093,5204,20816,52.5,
135,-15,55587,2.0,1107,5273,21092,52.48,
135,-10,54582,2.0,1120,5367,21468,52.17,
135,-5,53893,2.0,1134,5467,21868,51.85,ceiling digit obscured by watermark in source scan; 53893 +/- ~20 ft
135,0,53290,2.0,1147,5572,22288,51.46,
135,5,52652,2.0,1160,5680,22720,51.06,
135,10,51136,1.95,1147,5757,23028,49.81,
135,15,49282,1.91,1130,5887,23548,47.98,
130,-30,59271,2.0,1065,4932,19728,53.98,
130,-20,57416,2.0,1093,5018,20072,54.45,
130,-15,56382,2.0,1107,5084,20336,54.43,
130,-10,55397,2.0,1120,5173,20692,54.13,
130,-5,54718,2.0,1134,5270,21080,53.8,
130,0,54103,2.0,1147,5370,21480,53.39,
130,5,53472,2.0,1160,5472,21888,53.0,"source prints total 21822; corrected to 21888 (=4x5472, and matches 53.00 NM/t)"
130,10,51977,1.95,1147,5545,22180,51.71,
130,15,50158,1.91,1130,5661,22644,49.9,
125,-30,60000,2.0,1065,4728,18912,56.31,
125,-20,58244,2.0,1093,4831,19324,56.56,
125,-15,57230,2.0,1107,4894,19576,56.54,
125,-10,56229,2.0,1120,4979,19916,56.24,
125,-5,55558,2.0,1134,5071,20284,55.91,
125,0,54966,2.0,1147,5167,20668,55.5,
125,5,54304,2.0,1160,5268,21072,55.05,
125,10,52819,1.95,1147,5337,21348,53.73,
